ID,first_name,last_name,
2836,Leonard,Taylor,Leonard Taylor
2837,Steve,Bucknall,Steve Bucknall
2838,Eric,Johnson,Eric Johnson
2839,Mel,McCants,Mel McCants
2840,Gary,Voce,Gary Voce
2841,Nate,Johnston,Nate Johnston
2842,Jeff,Lebo,Jeff Lebo
2843,Zarko,Paspalj,Zarko Paspalj
2844,Dexter,Shouse,Dexter Shouse
2845,Mike,Morrison,Mike Morrison
2846,Doug,Roth,Doug Roth
2847,Mike,Williams,Mike Williams
2848,Jay,Edwards,Jay Edwards
2849,Raymond,Brown,Raymond Brown
2850,Dee,Brown,Dee Brown
2851,Larry,Bird,Larry Bird
2852,Reggie,Lewis,Reggie Lewis
2853,Ed,Pinckney,Ed Pinckney
2854,Kevin,McHale,Kevin McHale
2855,Joe,Kleine,Joe Kleine
2856,Kevin,Gamble,Kevin Gamble
2857,Brian,Shaw,Brian Shaw
2858,Dave,Popson,Dave Popson
2859,Robert,Parish,Robert Parish
2860,Brad,Daugherty,Brad Daugherty
2861,Chucky,Brown,Chucky Brown
2862,Craig,Ehlo,Craig Ehlo
2863,Danny,Ferry,Danny Ferry
2864,Derrick,Chievous,Derrick Chievous
2865,Gerald,Paddio,Gerald Paddio
2866,Hot,"Rod,Williams","Hot Rod,Williams"
2867,Spud,Webb,Spud Webb
2868,Jerry,Reynolds,Jerry Reynolds
2869,Mark,Aguirre,Mark Aguirre
2870,Fred,Roberts,Fred Roberts
2871,John,Stockton,John Stockton
2872,Eddie,Johnson,Eddie Johnson
2873,Terry,Porter,Terry Porter
2874,Mike,Woodson,Mike Woodson
2875,Jim,Thomas,Jim Thomas
2876,Brad,Davis,Brad Davis
2877,Orlando,Woolridge,Orlando Woolridge
2878,Chris,Mullin,Chris Mullin
2879,Rony,Seikaly,Rony Seikaly
2880,Harvey,Grant,Harvey Grant
2881,Chuck,Person,Chuck Person
2882,Detlef,Schrempf,Detlef Schrempf
2883,George,McCloud,George McCloud
2884,Greg,Dreiling,Greg Dreiling
2885,Kenny,Williams,Kenny Williams
2886,LaSalle,Thompson,LaSalle Thompson
2887,Micheal,Williams,Micheal Williams
2888,Mike,Sanders,Mike Sanders
2889,Randy,Wittman,Randy Wittman
2890,Reggie,Miller,Reggie Miller
2891,Rik,Smits,Rik Smits
2892,Vern,Fleming,Vern Fleming
2893,Chris,Dudley,Chris Dudley
2894,Chris,Morris,Chris Morris
2895,Derrick,Coleman,Derrick Coleman
2896,Derrick,Gervin,Derrick Gervin
2897,Jack,Haley,Jack Haley
2898,Jud,Buechler,Jud Buechler
2899,Kurk,Lee,Kurk Lee
2900,Lester,Conner,Lester Conner
2901,Mookie,Blaylock,Mookie Blaylock
2902,Reggie,Theus,Reggie Theus
2903,Sam,Bowie,Sam Bowie
2904,Tate,George,Tate George
2905,Bo,Kimble,Bo Kimble
2906,Charles,Smith,Charles Smith
2907,Gary,Grant,Gary Grant
2908,Jeff,Martin,Jeff Martin
2909,Ken,Bannister,Ken Bannister
2910,Ken,Norman,Ken Norman
2911,Loy,Vaught,Loy Vaught
2912,Tom,Garrick,Tom Garrick
2913,Winston,Garland,Winston Garland
2914,Antoine,Carr,Antoine Carr
2915,Bill,Wennington,Bill Wennington
2916,Bob,Hansen,Bob Hansen
2917,Duane,Causwell,Duane Causwell
2918,Eric,Leckner,Eric Leckner
2919,Lionel,Simmons,Lionel Simmons
2920,Ralph,Sampson,Ralph Sampson
2921,Rory,Sparrow,Rory Sparrow
2922,Steve,Colter,Steve Colter
2923,Wayman,Tisdale,Wayman Tisdale
2924,B.J.,Armstrong,B.J. Armstrong
2925,Bill,Cartwright,Bill Cartwright
2926,Cliff,Levingston,Cliff Levingston
2927,Craig,Hodges,Craig Hodges
2928,Dennis,Hopson,Dennis Hopson
2929,Horace,Grant,Horace Grant
2930,John,Paxson,John Paxson
2931,Michael,Jordan,Michael Jordan
2932,Scott,Williams,Scott Williams
2933,Scottie,Pippen,Scottie Pippen
2934,Stacey,King,Stacey King
2935,Will,Perdue,Will Perdue
2936,Brian,Oliver,Brian Oliver
2937,Charles,Barkley,Charles Barkley
2938,Hersey,Hawkins,Hersey Hawkins
2939,Jayson,Williams,Jayson Williams
2940,Johnny,Dawkins,Johnny Dawkins
2941,Manute,Bol,Manute Bol
2942,Mike,Gminski,Mike Gminski
2943,Rick,Mahorn,Rick Mahorn
2944,Rickey,Green,Rickey Green
2945,Ron,Anderson,Ron Anderson
2946,Armen,Gilliam,Armen Gilliam
2947,Dave,Hoppen,Dave Hoppen
2948,Dell,Curry,Dell Curry
2949,J.R.,Reid,J.R. Reid
2950,Johnny,Newman,Johnny Newman
2951,Kelly,Tripucka,Kelly Tripucka
2952,Kendall,Gill,Kendall Gill
2953,Kenny,Gattison,Kenny Gattison
2954,Muggsy,Bogues,Muggsy Bogues
2955,Rex,Chapman,Rex Chapman
2956,Brian,Quinnett,Brian Quinnett
2957,Charles,Oakley,Charles Oakley
2958,Eddielee,Wilkins,Eddielee Wilkins
2959,Gerald,Wilkins,Gerald Wilkins
2960,Jerrod,Mustaf,Jerrod Mustaf
2961,Kiki,Vandeweghe,Kiki Vandeweghe
2962,Mark,Jackson,Mark Jackson
2963,Maurice,Cheeks,Maurice Cheeks
2964,Patrick,Ewing,Patrick Ewing
2965,Mark,Bryant,Mark Bryant
2966,Dana,Barros,Dana Barros
2967,Derrick,McKey,Derrick McKey
2968,Gary,Payton,Gary Payton
2969,Michael,Cage,Michael Cage
2970,Olden,Polynice,Olden Polynice
2971,Quintin,Dailey,Quintin Dailey
2972,Sedale,Threatt,Sedale Threatt
2973,Shawn,Kemp,Shawn Kemp
2974,Xavier,McDaniel,Xavier McDaniel
2975,Tree,Rollins,Tree Rollins
2976,Pervis,Ellison,Pervis Ellison
2977,Stuart,Gray,Stuart Gray
2978,Trent,Tucker,Trent Tucker
2979,Frank,Kornet,Frank Kornet
2980,David,Greenwood,David Greenwood
2981,David,Robinson,David Robinson
2982,Paul,Pressey,Paul Pressey
2983,Reggie,Williams,Reggie Williams
2984,Sean,Elliott,Sean Elliott
2985,Sean,Higgins,Sean Higgins
2986,Sidney,Green,Sidney Green
2987,Terry,Cummings,Terry Cummings
2988,Tony,Massenburg,Tony Massenburg
2989,A.C.,Green,A.C. Green
2990,Byron,Scott,Byron Scott
2991,Elden,Campbell,Elden Campbell
2992,James,Worthy,James Worthy
2993,Larry,Drew,Larry Drew
2994,Magic,Johnson,Magic Johnson
2995,Mychal,Thompson,Mychal Thompson
2996,Sam,Perkins,Sam Perkins
2997,Terry,Teagle,Terry Teagle
2998,Vlade,Divac,Vlade Divac
2999,John,Shasky,John Shasky
3000,Randy,White,Randy White
3001,Steve,Alford,Steve Alford
3002,Greg,Butler,Greg Butler
